,Run,Reward,Entropy,A_vector,DetectionRate,Distance,MSE_GP,MSE_SVR
0,0,1.7144217274216516,62.20294731931442,18,0.1,3.0,0.7614050744151432,0.47470482475161274
1,0,1.5981364190194185,60.604810900295,45,0.2,6.0,0.7577294454107715,0.47280826346536775
2,0,1.373643441237327,59.23116745905767,80,0.30000000000000004,9.0,0.7616070143334273,0.4943934414986724
3,0,1.202433031148999,58.028734427908674,128,0.4,12.0,0.49190720147281947,0.4943966549674303
4,0,1.2525362872606465,56.77619814064803,189,0.5,15.0,0.45606477061570216,0.5216965456593277
5,0,1.210396660470714,55.56580148017731,256,0.6,18.0,0.3852379161787635,0.5213904978956118
6,0,1.1777618458980683,54.388039634279245,332,0.7,21.0,0.39389858472049,0.5222704120828023
7,0,1.1257432054947643,53.26229642878448,415,0.7999999999999999,24.0,0.47880698533261207,0.5106069705568628
8,0,0.6045075446473476,52.65778888413713,498,0.7999999999999999,27.0,0.3830281045989744,0.5081660056445301
9,0,-0.5,53.01517284945252,575,0.7999999999999999,30.0,0.4533210914929941,0.5070677977875852
10,0,0.8398803037988998,52.17529254565362,655,0.7999999999999999,33.0,0.18828156178706848,0.4244532692463609
11,0,1.0531759997261503,51.12211654592747,738,0.8999999999999999,36.0,0.17845898663185836,0.3756533177201289
12,0,1.025084070903489,50.09703247502398,823,0.8999999999999999,39.0,0.15444060648469482,0.36786676960155873
13,0,1.054091096169664,49.042941378854316,907,0.8999999999999999,42.0,0.18823233373011827,0.3797418919364848
14,0,0.7746175454732054,48.26832383338111,993,0.8999999999999999,45.0,0.22425426296822687,0.38318441121711233
15,0,0.2763094496281937,47.99201438375292,1080,0.8999999999999999,48.0,0.2857772572777433,0.3870291933136288
16,0,0.4671521994146701,47.52486218433825,1169,0.8999999999999999,51.0,0.2555051163926934,0.3911553831095007
17,0,0.4767844868007245,47.04807769753752,1265,0.8999999999999999,54.0,0.27451880868556705,0.399455535495796
18,0,0.4630638133995362,46.585013884137986,1359,0.9999999999999999,57.0,0.2341127624541975,0.4040117611705253
19,0,0.5997379437436763,45.98527594039431,1462,1.0999999999999999,60.0,0.2582532452702217,0.40910174876941247
20,0,0.6837135191429482,45.30156242125136,1568,1.0999999999999999,63.0,0.31489390338763357,0.38374918093264143
21,0,0.5746919784961761,44.726870442755185,1675,1.2,66.0,0.3110151030443453,0.32623177142285703
22,0,0.927603961276148,43.79926648147904,1780,1.3,69.0,0.11967166198963033,0.35632156619707506
23,0,0.6622572192652143,43.13700926221382,1883,1.4000000000000001,72.0,0.635667840559973,0.5112576024681368
