,Run,Reward,Entropy,A_vector,DetectionRate,Distance,MSE_GP,MSE_SVR
0,0,1.7659752676936407,62.15139377904243,13,0.0,3.0,0.7876938763405341,0.9087170629368841
1,0,1.743635053486365,60.407758725556064,30,0.0,6.0,0.7660143572622661,0.7478080340222636
2,0,1.3930084033780332,59.01475032217803,44,0.0,9.0,0.7662654544450788,0.7527494866289843
3,0,1.3842077615521546,57.63054256062588,57,0.0,12.0,0.7663561981276692,0.7588880557980323
4,0,1.5092294751673663,56.12131308545851,76,0.0,15.0,0.7653551948488315,0.7609928485760312
5,0,1.4623394026060055,54.658973682852505,89,0.0,18.0,0.6092916435372694,0.7414171797837165
6,0,1.4144025628660515,53.24457111998645,106,0.0,21.0,0.6187722054325614,0.7356792002192443
7,0,1.4431543964477598,51.80141672353869,123,0.0,24.0,0.22279735654622246,0.6798708976261472
8,0,1.1777351390294655,50.62368158450923,130,0.0,27.0,0.4861659947798726,0.6181886151532355
9,0,1.4710037924781076,49.15267779203112,150,0.0,30.0,0.15315477513759074,0.5696845320911854
10,0,1.0239070905955217,48.1287707014356,168,0.0,33.0,0.2095989029882976,0.5689818049846663
11,0,1.057617209187562,47.07115349224804,182,0.0,36.0,0.31715749340507055,0.5492736722516938
12,0,1.2038450924594244,45.86730839978861,192,0.0,39.0,0.42803169311207134,0.5660146088654362
13,0,0.993351798967538,44.873956600821074,200,0.0,42.0,0.2209449337719958,0.5635130730631808
14,0,1.1625418919189627,43.71141470890211,224,0.0,45.0,0.24231222012962922,0.5625765163337044
15,0,0.7516575084264261,42.959757200475686,238,0.0,48.0,0.2204706503451205,0.5622939495951904
16,0,0.7732285745496696,42.186528625926016,257,0.1,51.0,0.15674796806503383,0.5639638759633535
17,0,0.8536510018877124,41.332877624038304,272,0.1,54.0,0.14319010826920212,0.5639863412741403
18,0,0.7848728028213188,40.548004821216985,288,0.1,57.0,0.13323336026397203,0.5641816305026925
19,0,0.61418631818065,39.933818503036335,304,0.1,60.0,0.1152689168136999,0.5754604586209774
20,0,1.0874952017720005,38.846323301264334,320,0.1,63.0,0.15080628607072485,0.6016580539026791
21,0,1.0417560200527873,37.80456728121155,334,0.1,66.0,0.26927065272519174,0.6275018533522836
22,0,1.0280706604785124,36.776496620733035,360,0.2,69.0,0.17964012157569795,0.6272750727337266
23,0,1.0835091882291863,35.69298743250385,375,0.3,72.0,0.14168409734141404,0.6311334383689162
24,0,1.074461110631539,34.61852632187231,391,0.3,75.0,0.1291466643249018,0.676637703904624
25,0,1.3225626672673982,33.29596365460491,408,0.3,78.0,0.03178080847898528,0.671031904754992
26,0,1.3354957216921939,31.960467932912717,425,0.4,81.0,0.028722047816160553,0.6630894121831491
27,0,1.3990904577645438,30.561377475148173,441,0.4,84.0,0.035343453922104334,0.576481064470023
28,0,1.43205946072678,29.129318014421393,458,0.4,87.0,0.04846127199986583,0.4200875479652604
29,0,1.4411880493487175,27.688129965072676,472,0.4,90.0,0.055126155707225635,0.3239670337373021
30,0,1.4219553891665022,26.266174575906174,489,0.5,93.0,0.12417478059363342,0.25568165129255505
31,0,1.4522306969732313,24.813943878932943,506,0.5,96.0,0.05701622678748686,0.1784264562505626
32,0,1.359824993105189,23.454118885827754,523,0.5,99.0,0.02906010960279924,0.12424040889731951
33,0,1.3831026911445896,22.071016194683164,538,0.5,102.0,0.010292709009049267,0.0797839316134873
34,0,1.1690626652002365,20.901953529482928,553,0.5,105.0,0.010207532758671208,0.05552531889871675
35,0,1.0016504855261132,19.900303043956814,570,0.6,108.0,0.01057847230483347,0.03660855688022643
36,0,0.44060318389290387,19.45969986006391,576,0.6,111.0,0.010511980519247874,0.02624183057761419
37,0,0.5358002210831785,18.923899638980732,600,0.6,114.0,0.00973139474767434,0.023562024673398164
38,0,0.7209925491014104,18.20290708987932,616,0.6,117.0,0.008990456539238932,0.02215505332324632
39,0,0.6998444732952116,17.50306261658411,632,0.6,120.0,0.008896901811127126,0.02139417428544365
40,0,0.8335047642764408,16.66955785230767,649,0.6,123.0,0.010289686305780466,0.021102899989485422
41,0,0.8389816306258346,15.830576221681834,664,0.6,126.0,0.009966767417799229,0.020964650972673537
42,0,0.9043724558694866,14.926203765812348,674,0.6,129.0,0.009443168056752733,0.021019084918606573
43,0,0.7024677441738056,14.223736021638542,683,0.6,132.0,0.00914055737953296,0.02113555487873653
44,0,0.7346252798599053,13.489110741778637,720,0.6,135.0,0.009146729527522626,0.021147016375221785
45,0,0.46313041650314624,13.02598032527549,735,0.7,138.0,0.008680942167055667,0.02125039770173296
46,0,0.3099220988845133,12.716058226390977,759,0.7,141.0,0.008141812182284774,0.02135961300551469
47,0,0.3329672969203923,12.383090929470585,780,0.7,144.0,0.007807570236469953,0.021486684804662474
48,0,0.31818315873166547,12.06490777073892,789,0.7,147.0,0.007434322158382816,0.021046793058441454
49,0,0.8011000200227141,11.263807750716206,803,0.7,150.0,0.008348372284393252,0.02111018177644898
50,0,0.6574536451442317,10.606354105571974,819,0.7,153.0,0.013294812340134812,0.021164891421197006
51,0,0.6455925163295948,9.960761589242379,835,0.7,156.0,0.008004365333758881,0.021159167680355168
52,0,0.7488343210223576,9.211927268220022,849,0.7,159.0,0.004617411662757046,0.02113285539399742
53,0,0.6228440486650761,8.589083219554945,857,0.8,162.0,0.004407725989529247,0.02104148439215279
54,0,0.5104045651738449,8.0786786543811,899,0.8,165.0,0.004392204313137021,0.0209369788283309
55,0,0.6708076417795112,7.407871012601589,926,0.8,168.0,0.004341791712424295,0.02083224588658961
56,0,0.38258178997692305,7.025289222624666,951,0.8,171.0,0.004335636270383774,0.020706512936279082
57,0,0.12371606431214044,6.901573158312526,977,0.8,174.0,0.004315155295591085,0.02025249603786252
58,0,0.13249939755632312,6.769073760756203,988,0.8,177.0,0.004244208129999732,0.020141142885821597
59,0,0.13345140909549347,6.635622351660709,1009,0.8,180.0,0.004150358207281288,0.018688486884318147
60,0,0.11251991477186518,6.523102436888844,1023,0.8,183.0,0.00415627371568703,0.018688510332948965
61,0,0.10616568148589156,6.416936755402952,1042,0.8,186.0,0.004141535462922477,0.01858125858812374
62,0,0.033778076670050616,6.383158678732902,1046,0.8,189.0,0.004123541364589322,0.018545679642577206
63,0,0.06003733447411275,6.323121344258789,1055,0.8,192.0,0.004144931388038139,0.018508026068635042
64,0,0.03714675679318358,6.2859745874656054,1057,0.8,195.0,0.004263727556803349,0.018467923337902363
65,0,0.08471129330136318,6.201263294164242,1060,0.8,198.0,0.004348707390713855,0.01848601472495292
66,0,0.031812294066631885,6.16945100009761,1062,0.8,201.0,0.00425714478420169,0.018545295341990464
67,1,1.7052473156600882,62.44823864956459,13,0.1,3.0,0.6989411612792991,0.7022200426549221
68,1,1.4015260992663627,61.046712550298224,21,0.1,6.0,0.6955049307753423,0.69877994319615
69,1,1.629098387288444,59.41761416300978,35,0.1,9.0,0.6968310135704313,0.6986672356534464
70,1,1.5352553232187347,57.882358839791046,51,0.1,12.0,0.6969606240071197,0.6984144368937435
71,1,1.2997179734577244,56.58264086633332,68,0.1,15.0,0.2505353310044498,0.6981881129235855
72,1,1.1819555552669883,55.40068531106633,80,0.1,18.0,0.22558938691848016,0.6969647903635015
73,1,0.9891246597093399,54.41156065135699,90,0.1,21.0,0.20825577920900237,0.6954515376385044
74,1,0.7681113431373205,53.64344930821967,103,0.1,24.0,0.1663626113708091,0.6961310379816522
75,1,0.4377391951255518,53.20571011309412,123,0.1,27.0,0.19043181110204177,0.6944698106067149
76,1,0.43663892249755776,52.76907119059656,146,0.1,30.0,0.20238264607284742,0.6921172534654317
77,1,0.3196188933407029,52.44945229725586,160,0.1,33.0,0.22505886876344047,0.6890302749423138
78,1,0.2435110640324396,52.20594123322342,167,0.1,36.0,0.23039061019327975,0.6901314511408946
79,1,-0.5,52.20555322665658,167,0.1,39.0,0.24252993870466225,0.6916157864494158
80,1,0.6235906977299734,51.58196252892661,177,0.2,42.0,0.23492671268570614,0.6748889386141796
81,1,1.0215916029088277,50.56037092601778,195,0.2,45.0,0.3084668647682456,0.6580585078436931
82,1,1.2107777746315946,49.34959315138619,212,0.2,48.0,0.13799213874069907,0.6116719516123904
83,1,1.3138262943054428,48.035766857080745,230,0.2,51.0,0.15822876772568564,0.6043278657038977
84,1,1.093881761896533,46.94188509518421,244,0.2,54.0,0.14184786263642696,0.603383388548256
85,1,1.1642600255062163,45.777625069677995,256,0.2,57.0,0.15650863047313981,0.5998747365658001
86,1,1.3697169965013245,44.40790807317667,273,0.2,60.0,0.14231064688270895,0.5930420463550818
87,1,1.517012880281726,42.890895192894945,293,0.2,63.0,0.17196296794395352,0.5837284727642941
88,1,1.2831772130273862,41.60771797986756,304,0.2,66.0,0.19317420305907487,0.5583670382344946
89,1,1.399824811393529,40.20789316847403,328,0.3,69.0,0.19731337612695726,0.5429643584527606
90,1,1.1816831795055833,39.026209988968446,341,0.4,72.0,0.22333807033710323,0.5338602300044218
91,1,1.2701767641693422,37.756033224799104,366,0.4,75.0,0.20915157428227887,0.5145609514989059
92,1,1.082789904864967,36.67324331993414,386,0.4,78.0,0.36417908454874337,0.49728717515920506
93,1,1.3835983287333917,35.289644991200745,399,0.5,81.0,0.04344099566458318,0.4715985977945122
94,1,1.378646904679215,33.91099808652153,418,0.5,84.0,0.04674931388793132,0.44992080375114163
95,1,1.4257322736766938,32.48526581284484,436,0.5,87.0,0.04003331679927349,0.42177720170006044
96,1,1.4455830280431634,31.039682784801673,450,0.5,90.0,0.04287734795517495,0.3994786290592233
97,1,1.4519208705129216,29.587761914288752,466,0.5,93.0,0.039407777942343195,0.37307894020450233
98,1,1.4151293414013182,28.172632572887434,481,0.5,96.0,0.03777648993630229,0.35240674246775594
99,1,1.421744121237957,26.750888451649477,497,0.5,99.0,0.03636243250039759,0.3303165317415333
100,1,1.1712043278444995,25.579684123804977,510,0.5,102.0,0.034987593202268026,0.3139086090023113
101,1,1.1397249305120383,24.43995919329294,527,0.5,105.0,0.034165221165772364,0.2970271297520104
102,1,0.780986930997944,23.658972262294995,542,0.5,108.0,0.03386262668017228,0.2830283063237738
103,1,0.8475803833407376,22.811391878954257,563,0.5,111.0,0.034146500488404584,0.2738051985415126
104,1,0.7110620566105581,22.1003298223437,583,0.6,114.0,0.033716050354884015,0.2683088453499742
105,1,0.753310466845651,21.34701935549805,594,0.6,117.0,0.0323890297463303,0.2648032543711487
106,1,0.7685715732874492,20.5784477822106,608,0.6,120.0,0.029751378944430695,0.2631513409115636
107,1,0.5315062580909,20.0469415241197,647,0.6,123.0,0.030645839395331307,0.26280886674053283
108,1,0.6560889706055058,19.390852553514193,669,0.6,126.0,0.0285329842711442,0.26388793978616326
109,1,0.5133059069706931,18.8775466465435,701,0.6,129.0,0.028931570632360258,0.2653492694251794
110,1,0.3267008981948969,18.550845748348603,724,0.6,132.0,0.027149768241562466,0.26768145493716927
111,1,0.31109114685499506,18.23975460149361,740,0.6,135.0,0.02624675560300772,0.2704181529049759
112,1,0.5225047511977259,17.717249850295882,754,0.6,138.0,0.026141125623011813,0.27352675030189433
113,1,0.5079753769604451,17.209274473335437,770,0.6,141.0,0.02944491709840039,0.2766654631273018
114,1,0.30879351689878476,16.900480956436652,797,0.6,144.0,0.02843396454045231,0.27995402891628485
115,1,0.06536712239719833,16.835113834039454,814,0.6,147.0,0.026204526814528204,0.2830614715424436
116,1,0.10634489870717445,16.72876893533228,830,0.6,150.0,0.025531245997202575,0.2861673033509344
117,1,0.1886557267885891,16.54011320854369,841,0.6,153.0,0.027361102823301595,0.28905636799758916
118,1,0.1093870710756839,16.430726137468007,850,0.6,156.0,0.0289836866310161,0.29160340072395063
119,1,0.10455119670718105,16.326174940760826,852,0.6,159.0,0.029006387477568174,0.28916528032014344
120,1,0.09416496118379669,16.23200997957703,861,0.6,162.0,0.028726964615637784,0.2921960048585453
121,1,0.1273366298330494,16.10467334974398,864,0.6,165.0,0.026553116804118686,0.2951900666629105
122,1,0.33937272841980004,15.76530062132418,872,0.6,168.0,0.03342466987866668,0.29768441462934436
123,1,0.41402121766858,15.3512794036556,881,0.6,171.0,0.034784906777298896,0.2997127196808319
124,1,1.0091009873560601,14.34217841629954,895,0.6,174.0,0.04403952453836656,0.2968589131274781
125,1,0.7357580082035611,13.606420408095978,914,0.6,177.0,0.049217745613050555,0.2809542047466519
126,1,0.7743335458685809,12.832086862227397,926,0.6,180.0,0.03615860590661644,0.2433964911784242
127,1,0.8292452156243044,12.002841646603093,948,0.6,183.0,0.016754119215077353,0.15956259642465978
128,1,0.8824833762648581,11.120358270338235,960,0.6,186.0,0.004720161045290876,0.0743043477907665
129,1,0.7255599248164692,10.394798345521766,970,0.6,189.0,0.0023933959454434024,0.030443113277899177
130,1,0.7874025267554519,9.607395818766314,1007,0.6,192.0,0.0021806224194612206,0.03017933800386054
131,1,0.5752466014279438,9.03214921733837,1023,0.6,195.0,0.0020716384268849803,0.02991675540462356
132,1,0.38046113331026454,8.651688084028105,1038,0.6,198.0,0.002176164407775857,0.029623381444144885
133,1,0.33951687110210216,8.312171212926003,1050,0.6,201.0,0.002077637679461744,0.02925613915067008
134,2,1.4401777355632674,63.56464301472752,9,0.0,3.0,2.332175621107301,2.332191786524632
135,2,1.451631753070707,62.113011261656816,23,0.0,6.0,3.251645255750635,2.467247698026628
136,2,1.2928084749417081,60.82020278671511,37,0.0,9.0,0.4083373770066662,2.404736771288949
137,2,1.2503795235458242,59.56982326316928,54,0.0,12.0,0.2474861171864686,2.189159172599305
138,2,1.2987739105897376,58.271049352579546,66,0.0,15.0,0.18993705032942806,1.8510239668899442
139,2,1.1891218882518402,57.081927464327705,73,0.0,18.0,0.20351225134792356,1.507525433027357
140,2,1.6222895164048268,55.45963794792288,96,0.0,21.0,0.3016696326289175,1.3616687304918222
141,2,1.4281655318801256,54.03147241604275,104,0.0,24.0,0.29411746204519795,1.184153034746154
142,2,1.2620473882200187,52.769425027822734,114,0.0,27.0,0.3036581737124653,0.9905566013873706
143,2,1.5962225497393874,51.17320247808335,131,0.0,30.0,0.19043289156719911,0.9717309594464089
144,2,1.5144139481463839,49.65878852993696,149,0.0,33.0,0.1466201945340741,0.844309408733617
145,2,1.408390551188262,48.2503979787487,164,0.0,36.0,0.15065553918885902,0.8228614653253308
146,2,1.4845332363722932,46.76586474237641,179,0.0,39.0,0.1867617314172487,0.6227031317018107
147,2,1.4538197067162315,45.31204503566018,196,0.0,42.0,0.18162473358743542,0.5897757704730647
148,2,1.2809305392088959,44.03111449645128,208,0.0,45.0,0.17738281618360377,0.4576509738980942
149,2,1.3065754126462537,42.72453908380503,225,0.0,48.0,0.17502312733384723,0.435182734438249
150,2,1.2110296789601875,41.51350940484484,240,0.0,51.0,0.17144787651776236,0.42007896776360326
151,2,1.2174282687553273,40.29608113608951,246,0.0,54.0,0.17208733052233735,0.4070174844177411
152,2,1.2243307175472182,39.071750418542294,275,0.0,57.0,0.15816009766097505,0.3682751198855632
153,2,0.9578381919595387,38.113912226582755,290,0.0,60.0,0.16636017226360078,0.33447557560567076
154,2,0.5988639789774695,37.515048247605286,322,0.1,63.0,0.17805670552706895,0.3062927627065717
155,2,0.547586002570732,36.967462245034554,335,0.1,66.0,0.18411325552802557,0.3059577839742016
156,2,0.6045252300729018,36.36293701496165,357,0.2,69.0,0.19096049252311223,0.315689717188669
157,2,0.43830566629675616,35.924631348664896,382,0.2,72.0,0.16559509853596108,0.3256721450002099
158,2,0.3629492269004473,35.56168212176445,417,0.2,75.0,0.16010601828063598,0.3344883716281437
159,2,0.08714882529011447,35.474533296474334,431,0.2,78.0,0.1645731615768713,0.34060880317050396
160,2,0.09989755107061882,35.374635745403715,436,0.2,81.0,0.1679040104101695,0.34390298158234994
161,2,0.34777168194090535,35.02686406346281,443,0.2,84.0,0.17323881304009245,0.34257255825829663
162,2,0.5681096290724881,34.45875443439032,463,0.2,87.0,0.1680587079574297,0.3345046203420631
163,2,1.002628224604969,33.45612620978535,482,0.2,90.0,0.18473878234334504,0.3304459554882387
164,2,1.0526098736690273,32.403516336116326,492,0.2,93.0,0.16795523122660252,0.3194903698043149
165,2,1.2803266600319425,31.123189676084383,513,0.2,96.0,0.11205022812873285,0.30927794643426537
166,2,1.331480240036079,29.791709436048304,533,0.2,99.0,0.09562902652546582,0.28815719518566546
167,2,1.3208518993768124,28.47085753667149,548,0.2,102.0,0.05106038747281118,0.26970875291536406
168,2,1.4457425481987762,27.025114988472716,564,0.2,105.0,0.04742015707021015,0.2505949113006648
169,2,1.3550777510234298,25.670037237449286,578,0.2,108.0,0.04188022698799353,0.23416197529830102
170,2,1.3017953976669112,24.368241839782375,594,0.2,111.0,0.040996962178543817,0.21194617295866605
171,2,1.1039182346941772,23.264323605088197,609,0.2,114.0,0.03814517986535663,0.1908287030886338
172,2,0.7973760479655709,22.466947557122626,623,0.2,117.0,0.037174750813153135,0.15994760294053983
173,2,0.39584602065161434,22.071101536471012,640,0.3,120.0,0.03688025630237376,0.13232492679085364
174,2,0.1810969280191479,21.890004608451864,653,0.3,123.0,0.03880499226239814,0.11871244006519444
175,2,0.5916330441922852,21.29837156425958,668,0.3,126.0,0.038269360245268086,0.10765855312372748
176,2,0.30779211125591033,20.99057945300367,683,0.3,129.0,0.03914227126625276,0.10092991415412633
177,2,0.36780615839361275,20.622773294610056,702,0.3,132.0,0.038559905989516675,0.09469568337732269
178,2,0.536482763852483,20.086290530757573,719,0.3,135.0,0.038623057430397525,0.09457775405219748
179,2,0.4669877261281066,19.619302804629466,734,0.3,138.0,0.03872289527995763,0.09385597945748335
180,2,0.20388301482621785,19.41541978980325,758,0.3,141.0,0.046186675390388815,0.09565957192239379
181,2,0.11523246623755412,19.300187323565694,776,0.3,144.0,0.052296668995437515,0.09886761063895229
182,2,0.04268851460768275,19.25749880895801,777,0.3,147.0,0.05493864447717846,0.1022082053576934
183,2,0.0808958077383295,19.176603001219682,781,0.3,150.0,0.05790692297274986,0.10613900788943677
